"site","Lon","Lat","consensus","confidence"
1,-109.585015665417,40.2941093468333,"decrease",12
2,-110.03834899875,42.0061510135,"increase",20
3,-109.840682332083,42.1558176801667,"increase",20
4,-109.46884899875,42.1558176801667,"increase",20
5,-108.274515665417,44.6055676801667,"increase",16
6,-108.274515665417,44.1001510135,"increase",17
7,-108.01884899875,43.1089010135,"increase",19
8,-108.01884899875,43.0904843468333,"increase",19
9,-109.180015665417,40.5094843468333,"increase",15
10,-109.249015665417,40.4162343468333,"increase",11
11,-109.771515665417,40.3047343468333,"decrease",13
12,-107.810182332083,43.8756510135,"increase",14
13,-108.773515665417,40.0420676801667,"unsure",10
14,-109.43434899875,41.8931510135,"increase",20
15,-109.260182332083,42.1742343468333,"increase",17
16,-109.296015665417,42.0061510135,"increase",19
17,-109.260182332083,41.9968593468333,"increase",20
18,-109.249015665417,41.9968593468333,"increase",19
19,-109.307182332083,41.9877343468333,"increase",19
20,-109.296015665417,41.9877343468333,"increase",19
21,-109.249015665417,41.9877343468333,"increase",19
22,-109.296015665417,41.9771093468333,"increase",19
23,-109.283682332083,41.9771093468333,"increase",20
24,-109.249015665417,41.9679843468333,"increase",19
25,-109.238015665417,41.9679843468333,"increase",19
26,-109.93334899875,42.6414843468333,"increase",20
27,-109.748015665417,42.5009426801667,"increase",20
28,-109.735682332083,42.5009426801667,"increase",19
29,-109.724515665417,42.5009426801667,"increase",20
30,-109.701015665417,42.5009426801667,"increase",20
31,-109.690015665417,42.5009426801667,"increase",20
32,-109.666515665417,42.5009426801667,"increase",20
33,-109.748015665417,42.4918176801667,"increase",20
34,-109.701015665417,42.4918176801667,"increase",20
35,-109.666515665417,42.4918176801667,"increase",20
36,-109.724515665417,42.4826926801667,"increase",20
37,-109.677515665417,42.4826926801667,"increase",20
38,-109.666515665417,42.4826926801667,"increase",20
39,-109.748015665417,42.4734010135,"increase",20
40,-109.735682332083,42.4734010135,"increase",20
41,-109.701015665417,42.4734010135,"increase",20
42,-109.690015665417,42.4734010135,"increase",20
43,-109.666515665417,42.4734010135,"increase",20
44,-109.655515665417,42.4734010135,"increase",20
45,-109.748015665417,42.4642760135,"increase",20
46,-109.677515665417,42.4642760135,"increase",20
47,-109.666515665417,42.4642760135,"increase",20
48,-109.748015665417,42.4551510135,"increase",20
49,-109.724515665417,42.4551510135,"increase",19
50,-109.713515665417,42.4551510135,"increase",20
51,-109.701015665417,42.4551510135,"increase",20
52,-109.748015665417,42.4445260135,"increase",19
53,-109.724515665417,42.4445260135,"increase",20
54,-109.677515665417,42.4445260135,"increase",20
55,-109.735682332083,42.4354010135,"increase",20
56,-109.724515665417,42.4354010135,"increase",20
57,-109.713515665417,42.4354010135,"increase",20
58,-109.690015665417,42.4354010135,"increase",20
59,-109.677515665417,42.4354010135,"increase",20
60,-109.666515665417,42.4354010135,"increase",20
61,-109.655515665417,42.4354010135,"increase",20
63,-110.710182332083,39.1440676801667,"unsure",10
64,-108.00784899875,43.0904843468333,"increase",19
65,-108.01884899875,43.0813593468333,"increase",19
66,-107.98434899875,43.0813593468333,"increase",19
67,-108.99334899875,40.5001926801667,"increase",15
68,-108.93534899875,40.4819426801667,"increase",14
69,-108.135015665417,44.8103176801667,"increase",18
70,-107.730015665417,43.8572343468333,"increase",16
71,-108.05484899875,43.6984426801667,"increase",17
72,-108.227515665417,43.6694010135,"increase",13
73,-108.205515665417,43.6602760135,"increase",11
74,-107.98434899875,42.9776510135,"increase",19
75,-108.971182332083,40.5001926801667,"increase",13
76,-109.307182332083,40.4910676801667,"unsure",10
77,-108.93534899875,40.4726510135,"increase",15
78,-108.924182332083,40.4726510135,"increase",14
79,-108.877182332083,40.4635260135,"increase",17
80,-109.167515665417,39.8648593468333,"decrease",13
81,-107.50884899875,43.9884843468333,"increase",14
82,-107.53234899875,43.9320676801667,"increase",16
83,-107.474182332083,43.7259843468333,"increase",17
84,-109.225515665417,41.9313176801667,"increase",20
85,-108.07684899875,41.4730260135,"increase",20
86,-107.949682332083,41.0608593468333,"increase",19
87,-107.880682332083,41.0608593468333,"increase",15
88,-108.04234899875,41.0241926801667,"increase",20
89,-107.98434899875,41.0149010135,"increase",20
90,-108.298015665417,40.6316093468333,"increase",19
91,-108.808182332083,40.4544010135,"increase",20
92,-107.416182332083,43.9411926801667,"increase",12
93,-107.427182332083,43.7166926801667,"increase",17
94,-109.272515665417,41.9771093468333,"increase",19
95,-109.260182332083,41.9771093468333,"increase",20
96,-109.260182332083,41.9679843468333,"increase",20
97,-109.249015665417,41.9588593468333,"increase",20
98,-109.307182332083,41.9497343468333,"increase",19
99,-109.238015665417,41.9497343468333,"increase",20
100,-109.249015665417,41.9404426801667,"increase",20
101,-109.238015665417,41.9404426801667,"increase",20
102,-110.40884899875,41.9313176801667,"increase",20
103,-109.307182332083,41.9313176801667,"increase",20
104,-109.249015665417,41.9313176801667,"increase",20
105,-109.238015665417,41.9313176801667,"increase",20
106,-110.421182332083,41.8747343468333,"increase",20
107,-110.40884899875,41.8747343468333,"increase",20
108,-110.43234899875,41.8656093468333,"increase",20
109,-110.421182332083,41.8656093468333,"increase",20
110,-109.307182332083,41.8564843468333,"increase",20
111,-109.283682332083,42.4734010135,"increase",20
112,-109.260182332083,41.9588593468333,"increase",19
113,-109.283682332083,41.9497343468333,"increase",20
114,-109.272515665417,41.9497343468333,"increase",20
115,-109.283682332083,41.9404426801667,"increase",20
116,-109.272515665417,41.9404426801667,"increase",20
117,-110.44334899875,41.9313176801667,"increase",20
118,-109.296015665417,41.9313176801667,"increase",20
119,-109.260182332083,41.9313176801667,"increase",20
120,-110.421182332083,41.9221926801667,"increase",20
121,-110.43234899875,41.9129010135,"increase",20
122,-110.421182332083,41.9129010135,"increase",20
123,-110.40884899875,41.9129010135,"increase",20
124,-110.421182332083,41.9024426801667,"increase",20
125,-110.40884899875,41.9024426801667,"increase",20
126,-110.43234899875,41.8931510135,"increase",20
127,-110.421182332083,41.8931510135,"increase",20
128,-110.40884899875,41.8931510135,"increase",20
129,-110.49034899875,41.8840260135,"increase",20
130,-110.421182332083,41.8840260135,"increase",20
131,-110.40884899875,41.8840260135,"increase",20
132,-110.50134899875,41.8747343468333,"increase",20
133,-110.49034899875,41.8747343468333,"increase",20
134,-110.47934899875,41.8747343468333,"increase",20
135,-110.46684899875,41.8747343468333,"increase",20
136,-107.03334899875,38.4903176801667,"increase",19
137,-107.022182332083,38.4903176801667,"increase",19
138,-107.10234899875,38.4811926801667,"increase",20
139,-107.14934899875,38.4719010135,"increase",18
140,-107.13834899875,38.4719010135,"increase",20
141,-107.12584899875,38.4719010135,"increase",19
142,-107.13834899875,38.4627760135,"increase",19
143,-107.207515665417,38.4521510135,"increase",20
144,-107.10234899875,38.2749426801667,"increase",19
145,-106.929682332083,38.4521510135,"increase",20
146,-113.506515665417,39.3134843468333,"increase",11
147,-110.780682332083,38.2094010135,"increase",11
148,-109.864182332083,38.9944010135,"increase",11
149,-108.866182332083,40.7431093468333,"increase",14
150,-108.877182332083,40.7246926801667,"increase",14
